district_no,district,district_key,year,category,popup_name,brand,description,location,date,admission,goods,tags,highlight,research_insight
01,Seongsu-dong,seongsu,2024,Fashion,Musinsa Beauty Festa — Seongsu,Musinsa,"Massive multi-brand pop-up town across Seongsu, bringing online-only beauty brands to their first ever offline spaces.",Seongsu-dong (area-wide),2024,Free,Multi-brand beauty & fashion,Pop-up Town | Multi-brand | Large-scale | Pioneering,🏆 Large-scale,Proved an e-commerce platform could run a physical pop-up town as effectively as a department store.
01,Seongsu-dong,seongsu,2024,Fashion,Nike 'Air Force 1 Seoul Edition' Pop-up,Nike Korea,"Nike's Seoul-exclusive Air Force 1 drop with local artist collabs, customisation stations, and an interactive 'Seoul Streets' installation celebrating the city's sneaker culture.",Seongsu-dong,2024,Free,Seoul-edition AF1 + custom options,Nike | Air Force 1 | Sneakers | Seoul Edition | Custom,Standard,Nike's city-edition drops have become annual cultural events — the Seongsu location ensures the brand speaks directly to Seoul's most trend-sensitive consumer segment.
02,Hannam-dong,hannam,2024,Fashion,Hannam Vintage Fashion Market,Hannam Vintage Curators,Monthly curated vintage & resale pop-up reflecting MZ consumers' growing interest in sustainable fashion.,Hannam-dong,"Monthly, ongoing",Free,Vintage & resale items,Vintage | Resale | Sustainable | Monthly,Standard,Sustainable fashion is the fastest-growing MZ sub-trend — Hannam's market taps this with a premium approach.
03,Hongdae,hongdae,2024,Art · Exhibition,Hongdae Indie Artist Market,Hongdae Art Scene,"Independent artist market selling handmade works, goods, and crafts — a defining feature of Hongdae's creative underground.",Hongdae Walk Street,"2× monthly, ongoing",Free,Handmade works & goods,Handmade | Indie | Market | Authentic,Standard,The indie artist market represents the grassroots origin of Seoul's pop-up culture.
03,Hongdae,hongdae,2024,IP · Character,K-Pop Official MD Pop-up Hub,Major Entertainment Labels,"Hongdae's proximity to SM Town makes it a permanent K-pop corridor. Albums, photocards, lightsticks at every major comeback.","Hongdae, near SM Town","Comeback seasons, ongoing",Free,Random photocard events,K-Pop | Fandom | MD | SM Town | Ongoing,Standard,Hongdae's role as K-pop's retail heartland is self-reinforcing: fans gather because brands pop up; brands pop up because fans gather.
04,Gangnam · The Hyundai,gangnam,2024,Beauty,Coupang Mega Beauty Show,Coupang × 9 Beauty Brands,"Nine major beauty brands share one pop-up town. Visitors compare, trial, and purchase across all brands simultaneously.",Gangnam area large venue,2024,Free,Multi-brand trials & purchase,Pop-up Town | Multi-brand | Beauty | Benchmark,🏆 Large-scale,Coupang coordinating 9 brands shows how e-commerce platforms are emerging as pop-up town operators.
04,Gangnam · The Hyundai,gangnam,2024,F&B,Market Kurly Food Festa,Market Kurly,Fresh-food e-commerce platform Kurly brings curated brands offline with live tasting and cooking demos.,Gangnam area,2024,Free,Premium food items + tasting,F&B | E-commerce | Tasting | Premium,Standard,Market Kurly's offline Festa bridges a core challenge for food e-commerce: consumers want to taste before buying.
04,Gangnam · The Hyundai,gangnam,2024,IP · Character,K League × Sanrio Characters,K League × Sanrio,"The most successful pop-up of 2024: 250,000 total visitors, averaging 10,500 per day. Textbook cross-fandom collision.",The Hyundai Seoul,2024,Free,Cross-fandom limited goods,Cross-fandom | Record | Sanrio | K League | Sports,🏆 Record,"Bridges two unconnected communities, doubling potential audience without increasing production complexity."
04,Gangnam · The Hyundai,gangnam,2024,IP · Character,World Webtoon Festival 2024,Webtoon Platform Alliance,Major Korean and international webtoon IPs gather for a festival pop-up with author signings and story-world exhibitions.,Gangnam area large venue,2024,Paid admission,Author-signed goods,Webtoon | IP | Festival | Author | Signing,Standard,"Webtoon IP generates deeply personal connections — fans follow characters for years, making purchases highly emotional."
01,Seongsu-dong,seongsu,2025,Art · Exhibition,The Museum Visitor × Danit Pop-up,"Daerim Changgo, Seongsu",Art and fashion hybrid pop-up at the iconic Daerim Changgo warehouse. Museum-style curation meets wearable art in a space that blurs gallery and retail.,"Daerim Changgo, Seongsu","Oct 2 – Oct 9, 2025",Free,Wearable art pieces,Art | Fashion | Warehouse | Hybrid | Seongsu,Standard,The Daerim Changgo venue — a repurposed factory — provides a backdrop that makes even simple installations feel monumental.
